Date,Open,High,Low,Close,Adj Close,Volume
2023-02-14,74.180000,74.410004,73.610001,73.949997,71.666252,2075900
2023-02-15,73.709999,74.190002,73.440002,73.639999,71.365829,2258400
2023-02-16,73.419998,73.830002,73.019997,73.470001,71.201080,2408300
2023-02-17,73.279999,73.300003,72.820000,72.949997,70.697136,2703500
2023-02-21,72.669998,72.690002,71.599998,71.820000,69.602036,2858100
2023-02-22,71.629997,71.730003,71.080002,71.570000,69.359756,2441300
2023-02-23,71.730003,71.800003,71.150002,71.309998,69.107788,2375000
2023-02-24,71.019997,71.379997,70.510002,71.339996,69.136856,2904700
2023-02-27,71.500000,71.900002,71.410004,71.529999,69.320992,1781600
2023-02-28,70.000000,70.050003,67.099998,67.440002,65.357300,10034300
2023-03-01,67.389999,68.480003,66.910004,68.440002,66.326424,5708700
2023-03-02,68.620003,68.790001,67.879997,68.769997,66.646225,5565700
2023-03-03,69.290001,70.260002,69.250000,69.959999,67.799477,6454900
2023-03-06,70.190002,70.900002,70.029999,70.290001,68.119286,3399800
2023-03-07,70.120003,70.250000,68.639999,69.040001,66.907890,5693000
2023-03-08,69.209999,69.269997,68.440002,68.709999,66.588081,2616400
2023-03-09,68.580002,68.580002,67.120003,67.300003,65.221626,6672400
2023-03-10,67.000000,67.080002,65.430000,65.730003,63.700115,8805400
2023-03-13,65.000000,66.070000,63.869999,65.760002,63.729183,7242600
2023-03-14,67.080002,67.320000,65.540001,66.000000,63.961769,4199600
2023-03-15,64.800003,65.309998,63.849998,65.220001,63.205860,6313200
2023-03-16,64.900002,66.389999,64.260002,65.720001,63.690422,5659600
2023-03-17,65.570000,65.959999,65.199997,65.809998,63.777637,9803300
2023-03-20,66.050003,66.230003,65.459999,65.760002,63.729183,5277100
2023-03-21,66.660004,66.989998,66.220001,66.599998,64.543236,3637600
2023-03-22,67.139999,67.169998,66.419998,66.480003,64.426949,3310700
2023-03-23,66.570000,67.019997,66.099998,66.169998,64.126518,3011500
2023-03-24,65.620003,66.000000,64.800003,65.849998,63.816402,3547800
2023-03-27,66.550003,66.980003,66.230003,66.500000,64.446335,3335200
2023-03-28,66.290001,66.949997,66.250000,66.660004,64.601387,2985800
2023-03-29,67.099998,67.889999,67.010002,67.830002,65.735260,4062400
2023-03-30,68.029999,68.480003,67.589996,67.790001,65.696495,6567100
2023-03-31,68.120003,68.260002,67.589996,68.070000,65.967850,9388700
2023-04-03,66.750000,67.489998,66.699997,67.400002,66.322090,6353200
